"time_posixct";"nino34CE1";"CE1_Plus0_5";"CE1_Moins0_5";"CE1_Nino";"CE1_Nina";"CE1_Episode";"CE1_EpisodeNum"
2050-02-15;-1.779296875;0;-1;"0";"0";"Neutre";0
2050-03-15;-1.046142578125;0;-1;"0";"0";"Neutre";0
2050-04-15;-0.521728515625;0;-1;"0";"0";"Neutre";0
2050-05-15;-0.361083984375;0;0;"0";"0";"Neutre";0
2050-06-15;-0.32177734375;0;0;"0";"0";"Neutre";0
2050-07-15;-0.2958984375;0;0;"0";"0";"Neutre";0
2050-08-15;-0.1025390625;0;0;"0";"0";"Neutre";0
2050-09-15;0.032470703125;0;0;"0";"0";"Neutre";0
2050-10-15;0.020751953125;0;0;"0";"0";"Neutre";0
2050-11-15;-0.034912109375;0;0;"0";"0";"Neutre";0
2050-12-15;-0.092529296875;0;0;"0";"0";"Neutre";0
2051-01-15;-0.04052734375;0;0;"0";"0";"Neutre";0
2051-02-15;0.279052734375;0;0;"0";"0";"Neutre";0
2051-03-15;0.642822265625;1;0;"0";"0";"Neutre";0
2051-04-15;0.75732421875;1;0;"0";"0";"Neutre";0
2051-05-15;0.524169921875;1;0;"0";"0";"Neutre";0
2051-06-15;0.180419921875;0;0;"0";"0";"Neutre";0
2051-07-15;0.058349609375;0;0;"0";"0";"Neutre";0
2051-08-15;0.133544921875;0;0;"0";"0";"Neutre";0
2051-09-15;0.420166015625;0;0;"0";"0";"Neutre";0
2051-10-15;0.762451171875;1;0;"1";"0";"Nino";1
2051-11-15;1.004150390625;1;0;"1";"0";"Nino";1
2051-12-15;1.045166015625;1;0;"1";"0";"Nino";1
2052-01-15;1.0244140625;1;0;"1";"0";"Nino";1
2052-02-15;1.197998046875;1;0;"1";"0";"Nino";1
2052-03-15;1.3046875;1;0;"1";"0";"Nino";1
2052-04-15;1.066650390625;1;0;"1";"0";"Nino";1
2052-05-15;0.259521484375;0;0;"0";"0";"Neutre";0
2052-06-15;-0.675048828125;0;-1;"0";"1";"Nina";-1
2052-07-15;-1.26025390625;0;-1;"0";"1";"Nina";-1
2052-08-15;-1.431884765625;0;-1;"0";"1";"Nina";-1
2052-09-15;-1.472412109375;0;-1;"0";"1";"Nina";-1
2052-10-15;-1.72216796875;0;-1;"0";"1";"Nina";-1
2052-11-15;-2.114501953125;0;-1;"0";"1";"Nina";-1
2052-12-15;-2.399658203125;0;-1;"0";"1";"Nina";-1
2053-01-15;-2.27001953125;0;-1;"0";"1";"Nina";-1
2053-02-15;-1.774658203125;0;-1;"0";"1";"Nina";-1
2053-03-15;-1.0517578125;0;-1;"0";"1";"Nina";-1
2053-04-15;-0.587158203125;0;-1;"0";"1";"Nina";-1
2053-05-15;-0.489501953125;0;0;"0";"0";"Neutre";0
2053-06-15;-0.60400390625;0;-1;"0";"0";"Neutre";0
2053-07-15;-0.6025390625;0;-1;"0";"0";"Neutre";0
2053-08-15;-0.4384765625;0;0;"0";"0";"Neutre";0
2053-09-15;-0.2626953125;0;0;"0";"0";"Neutre";0
2053-10-15;-0.1591796875;0;0;"0";"0";"Neutre";0
2053-11-15;-0.099853515625;0;0;"0";"0";"Neutre";0
2053-12-15;0.00732421875;0;0;"0";"0";"Neutre";0
2054-01-15;0.12548828125;0;0;"0";"0";"Neutre";0
2054-02-15;0.376220703125;0;0;"0";"0";"Neutre";0
2054-03-15;0.56689453125;1;0;"0";"0";"Neutre";0
2054-04-15;0.571044921875;1;0;"0";"0";"Neutre";0
2054-05-15;0.274169921875;0;0;"0";"0";"Neutre";0
2054-06-15;-0.046630859375;0;0;"0";"0";"Neutre";0
2054-07-15;-0.0771484375;0;0;"0";"0";"Neutre";0
2054-08-15;0.041748046875;0;0;"0";"0";"Neutre";0
2054-09-15;0.228515625;0;0;"0";"0";"Neutre";0
2054-10-15;0.353271484375;0;0;"0";"0";"Neutre";0
2054-11-15;0.49560546875;0;0;"0";"0";"Neutre";0
2054-12-15;0.593017578125;1;0;"1";"0";"Nino";1
2055-01-15;0.758056640625;1;0;"1";"0";"Nino";1
