"time_posixct";"nino34CE2";"CE2_Plus0_5";"CE2_Moins0_5";"CE2_Nino";"CE2_Nina";"CE2_Episode";"CE2_EpisodeNum"
2050-02-15;-1.516357421875;0;-1;"0";"0";"Neutre";0
2050-03-15;-0.93310546875;0;-1;"0";"0";"Neutre";0
2050-04-15;-0.452880859375;0;0;"0";"0";"Neutre";0
2050-05-15;-0.2880859375;0;0;"0";"0";"Neutre";0
2050-06-15;-0.239990234375;0;0;"0";"0";"Neutre";0
2050-07-15;-0.266357421875;0;0;"0";"0";"Neutre";0
2050-08-15;-0.07421875;0;0;"0";"0";"Neutre";0
2050-09-15;0.087646484375;0;0;"0";"0";"Neutre";0
2050-10-15;0.03076171875;0;0;"0";"0";"Neutre";0
2050-11-15;-0.152587890625;0;0;"0";"0";"Neutre";0
2050-12-15;-0.308837890625;0;0;"0";"0";"Neutre";0
2051-01-15;-0.2265625;0;0;"0";"0";"Neutre";0
2051-02-15;0.12744140625;0;0;"0";"0";"Neutre";0
2051-03-15;0.5078125;1;0;"0";"0";"Neutre";0
2051-04-15;0.684326171875;1;0;"0";"0";"Neutre";0
2051-05-15;0.535400390625;1;0;"0";"0";"Neutre";0
2051-06-15;0.248291015625;0;0;"0";"0";"Neutre";0
2051-07-15;0.08642578125;0;0;"0";"0";"Neutre";0
2051-08-15;0.1845703125;0;0;"0";"0";"Neutre";0
2051-09-15;0.5126953125;1;0;"1";"0";"Nino";1
2051-10-15;0.91015625;1;0;"1";"0";"Nino";1
2051-11-15;1.14794921875;1;0;"1";"0";"Nino";1
2051-12-15;1.196044921875;1;0;"1";"0";"Nino";1
2052-01-15;1.136962890625;1;0;"1";"0";"Nino";1
2052-02-15;1.23583984375;1;0;"1";"0";"Nino";1
2052-03-15;1.259521484375;1;0;"1";"0";"Nino";1
2052-04-15;1.04833984375;1;0;"1";"0";"Nino";1
2052-05-15;0.281005859375;0;0;"0";"0";"Neutre";0
2052-06-15;-0.5654296875;0;-1;"0";"1";"Nina";-1
2052-07-15;-1.164306640625;0;-1;"0";"1";"Nina";-1
2052-08-15;-1.34814453125;0;-1;"0";"1";"Nina";-1
2052-09-15;-1.492431640625;0;-1;"0";"1";"Nina";-1
2052-10-15;-1.80908203125;0;-1;"0";"1";"Nina";-1
2052-11-15;-2.155517578125;0;-1;"0";"1";"Nina";-1
2052-12-15;-2.260009765625;0;-1;"0";"1";"Nina";-1
2053-01-15;-1.990234375;0;-1;"0";"1";"Nina";-1
2053-02-15;-1.504150390625;0;-1;"0";"1";"Nina";-1
2053-03-15;-0.9248046875;0;-1;"0";"1";"Nina";-1
2053-04-15;-0.522705078125;0;-1;"0";"1";"Nina";-1
2053-05-15;-0.4248046875;0;0;"0";"0";"Neutre";0
2053-06-15;-0.508544921875;0;-1;"0";"0";"Neutre";0
2053-07-15;-0.54296875;0;-1;"0";"0";"Neutre";0
2053-08-15;-0.385986328125;0;0;"0";"0";"Neutre";0
2053-09-15;-0.2177734375;0;0;"0";"0";"Neutre";0
2053-10-15;-0.18603515625;0;0;"0";"0";"Neutre";0
2053-11-15;-0.261474609375;0;0;"0";"0";"Neutre";0
2053-12-15;-0.2490234375;0;0;"0";"0";"Neutre";0
2054-01-15;-0.0859375;0;0;"0";"0";"Neutre";0
2054-02-15;0.22021484375;0;0;"0";"0";"Neutre";0
2054-03-15;0.44775390625;0;0;"0";"0";"Neutre";0
2054-04-15;0.5224609375;1;0;"0";"0";"Neutre";0
2054-05-15;0.31884765625;0;0;"0";"0";"Neutre";0
2054-06-15;0.05126953125;0;0;"0";"0";"Neutre";0
2054-07-15;-0.003662109375;0;0;"0";"0";"Neutre";0
2054-08-15;0.11669921875;0;0;"0";"0";"Neutre";0
